Bezirk;Staße;Bereich;Abschnitte;Kosten (€)
Mitte;Seestraße;Müllerstr. - Iranische Str. (Südseite);5;400000
Mitte;Seestraße;Bezirksgrenze-Nördl. Seestraßenbr.;2;160000
Mitte;Föhrer Straße;Augustenburger Platz - Nordufer (Nordseite);3;240000
Mitte;Stromstraße;südlich Alt-Moabit / nördl. Turmstr. (Ostseite);3;240000
Mitte;Sickingenstraße;anderweitig nicht finanzierbare Teilabschnitte;3;240000
Mitte;Zionskirchstr.;Absicherung Radfahrstreifen entgegen Einbahnstr.;1;80000
Mitte;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Friedrichshain-Kreuzberg;Oranienstraße;westlich Moritzplatz;5;400000
Friedrichshain-Kreuzberg;Bersarinplatz;Radweganbindung Ostseite;1;80000
Friedrichshain-Kreuzberg;Karl-Marx-Allee;Frankfurter Tor - Kosmos-Kino;1;80000
Friedrichshain-Kreuzberg;Prinzenstraße;Ritterstr.-Moritzplatz (beidseitig);2;160000
Friedrichshain-Kreuzberg;Dresdener Str.-Kottbusser Tor;Ertüchtigung Durchfahrt zur Reichenberger Str.;1;80000
Friedrichshain-Kreuzberg;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Pankow;Rothenbachstr.;vor Prenzlauer Promenade;1;80000
Pankow;Storkower Straße;Kniprodestraße-Landsberger Allee (beidseitig);5;400000
Pankow;Caligariplatz;Anbindung Heinersdorfer-Wisbyer Str.;1;80000
Pankow;Blankenfelder Chaussee;Bereich nördlich Rosenthaler Weg;1;80000
Pankow;Pasewalker - Berliner Str.;Eweststr.-Blankenfelder Str.;3;240000
Pankow;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Charlottenburg-Wilmersdorf;Bundesallee (Herstellung von Zweirichtungsradwegen);Hohenzollerndamm-Nachodstr. - Pariser Str. bzw. Regensburger Str.;2;160000
Charlottenburg-Wilmersdorf;Detmolder Straße;Blissestraße-Mecklenburgische Str. (Nordseite);2;160000
Charlottenburg-Wilmersdorf;Spandauer Damm;Spreetalallee-Bezirksgrenze;3;240000
Charlottenburg-Wilmersdorf;Prinzregentenstraße;Maßnahmen zur Reduzierung Kfz-Verkehr;1;80000
Charlottenburg-Wilmersdorf;Messedamm;ZOB-Bereich;1;80000
Charlottenburg-Wilmersdorf;Siemensdamm;Südseite;2;160000
Charlottenburg-Wilmersdorf;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Spandau;Charlottenburger Chaussee;verschiedene Teilabschnitte;5;400000
Spandau;Seegefelder Straße;verschiedene Teilabschnitte;2;160000
Spandau;Falkenseer Chaussee;Südseite Zeppelinstr. - Germersheimer Weg;1;80000
Spandau;Heerstraße;Nordseite beiderseits Pichelsdorfer Straße;2;160000
Spandau;Falkenseer Chaussee;Stadtrandstraße - Am Kiesteich;3;240000
Spandau;Am Juliusturm;erste Teilabschnitte Nordseite;2;160000
Spandau;Siemensdamm;erste Teilabschnitte;3;240000
Spandau;Nonnendammallee;verschiedene Teilabschnitte;2;160000
Spandau;Radwege W.-v.-Siemens-Park;verschiedene Teilabschnitte;2;160000
Spandau;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Steglitz-Zehlendorf;Malteserstr.;erste Teilabschnitte;2;160000
Steglitz-Zehlendorf;Mühlenstr. (Zehlendorf);Seehofstr.-Hochbaumstr.;2;160000
Steglitz-Zehlendorf;Clayallee;enger Bereich beiderseits Sundgauer Straße;2;160000
Steglitz-Zehlendorf;Gallwitzallee;nördlich Mühlenstraße;2;160000
Steglitz-Zehlendorf;Potsdamer Chaussee;Wasgensteig-Lissabonallee;3;240000
Steglitz-Zehlendorf;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Steglitz-Zehlendorf;Jugendverkehrsschule Steglitz;Fahrbahnsanierung;1;80000
Steglitz-Zehlendorf/ Tempelhof Schöneberg;Kamenzer Damm/ Lankwitzer Straße (beiderseits Brücke);Zweirichtungsradweg Nordseite, Anbindung Mariendorfer Hafenweg (Mittelinseln, Markierung);2;160000
Tempelhof-Schöneberg;Alt-Mariendorf;Forddamm-Großbeerenstr. Südseite;1;80000
Tempelhof-Schöneberg;Ringstraße/Rathausstraße;südlich Kaiserstraße (einschl. LSA-Bereiche);3;240000
Tempelhof-Schöneberg;Alvenslebenstr.-Winterfeldtstr.;Herstellung Querungsmöglichkeit über Potsdamer Str.;1;80000
Tempelhof-Schöneberg;Britzer Straße;Am Heidefriedhof-Grüntenstraße;2;160000
Tempelhof-Schöneberg;Säntisstr., Richard-Tauber-Damm, Im Eck;Ausbau von Radwegen und Querungen sowie Markierungsarbeiten im Zuge von Fahrradrouten;2;160000
Tempelhof-Schöneberg;Barnetstraße;erste Teilabschnitte;2;160000
Tempelhof-Schöneberg;Fahrradabstellanlagen;10-20 Standorte nach Wunsch BA;2;160000
Neukölln;Karl-Marx-Straße;Markierungsarbeiten u. Poller westl. Weichselstr.;1;80000
Neukölln;Neudecker Weg;erste Teilabschnitte;2;160000
Neukölln;Mauerweg Rudow;westlich Schönefelder Str.;2;160000
