Bezirk;Name des Vorhabens;BPU-Summe;Kosten (€, geschätzt)
Charlottenburg-Wilmersdorf;Radweg/Radfahrstreifen Dovestraße-Helmholtzstraße;;150000
Charlottenburg-Wilmersdorf;Radfahrstreifen Brandenburgische Straße;;75000
Charlottenburg-Wilmersdorf;Radwegerneuerung Goerdelerdamm;;300000
Charlottenburg-Wilmersdorf;Asphaltierung Roennestraße;;200000
Charlottenburg-Wilmersdorf;Asphaltierung Windscheidstraße;;200000
Charlottenburg-Wilmersdorf;Radwege Detmolder Straße östlich Blissestraße;;500000
Charlottenburg-Wilmersdorf;Zweirichtungsradwege Prinzregentenstraße;;500000
Friedrichshain-Kreuzberg;Radfahrstreifen Hasenheide;;100000
Friedrichshain-Kreuzberg;Radweg Stralauer Allee;;400000
Friedrichshain-Kreuzberg;Ausbau Radweg Paul-und-Paula-Ufer;;100000
Friedrichshain-Kreuzberg;Friedenstraße Querung Landsberger Allee;;200000
Friedrichshain-Kreuzberg;Radwegeerneuerung Mehringdamm Ostseite südlich Bergmannstraße;;300000
Friedrichshain-Kreuzberg/Pankow;Lückenschluss Radverkehrsanlagen Friedenstr./Am Friedrichshain;;100000
Lichtenberg;Asphaltierung Hegemeisterweg;;500000
Lichtenberg;Radweganbindung Seefelder Straße;;50000
Lichtenberg;Radfahrstreifen Gensinger Straße einschließlich Alt-Friedrichsfelde Süd;;150000
Lichtenberg;Radfahrstreifen Herzbergstraße Mittelabschnitt;;200000
Lichtenberg;Radfahrstreifen Siegfriedstraße (Bornitzstraße-Rüdigerstraße);;500000
Lichtenberg;Asphaltierung Wallensteinstraße;;200000
Lichtenberg;Radverkehrsanlagen Ruschestraße (Bornitzstraße-Normannenstraße);;500000
Marzahn-Hellersdorf;Radweg parallel zur Wuhle (Ostseite nördlich Altentreptower Str.);;500000
Marzahn-Hellersdorf;Radwegrampen Bitterfelder Straße - Alte Rüsternallee;;400000
Marzahn-Hellersdorf;Radwegebau/Asphaltierung Münsterberger Weg;;400000
Marzahn-Hellersdorf;Radverkehrsanlagen Allee der Kosmonauten Eitelstraße-Elisabethstraße;;300000
Mitte;Radfahrstreifen Amrumer Straße;;180000
Mitte;Radfahrstreifen Residenzstraße;;80000
Mitte;Rampe Wullenwebersteg;114500;115000
Mitte;Radwegverbindung Dresdener Straße (Heinrich-Heine-Str.-Roßstr.);;300000
Mitte;Radverkehrsanlagen Pankstraße;;200000
Mitte;Asphaltierung Gartenstraße-Gerichtstraße;;500000
Neukölln;Asphaltierung Pannierstraße (Sonnenallee-Donaustraße);;50000
Neukölln;Asphaltierung Braunschweiger Straße Ost;;400000
Neukölln;Radfahrstreifen Gerlinger Straße;;221250
Pankow;Radfahrstreifen Neumannstraße;;400000
Pankow;Radfahrstreifen Pasewalker Str. (Löffelbrücke- Bhf. Heinersdorf);;200000
Pankow;Asphaltierung Neukirchstraße Ost;;400000
Pankow;Danziger Straße Prenzlauer Allee - Bötzowstraße;;400000
Pankow;Asphaltierung Schönholzer Weg;;500000
Reinickendorf;Asphaltierung Jörsstraße;147000;147000
Spandau;Radweg / Radfahrstreifen Kisselnallee;;300000
Spandau;gem. Rad-und Gehweg Hamburger Straße - Landesgrenze;;500000
Spandau;Radfahrstreifen Seegefelder Straße;;100000
Spandau;Radweg Heerstraße Südseite (50 m vor Pichelsdorfer Str. - Freybrücke);;375000
Steglitz-Zehlendorf;Asphaltierung Markelstraße / Mittelinsel Lepsiusstraße;;200000
Steglitz-Zehlendorf;Asphaltierung Brauerstraße einschl. Anbindung Kranoldplatz;;315000
Steglitz-Zehlendorf;Asphaltierung Königsweg Brückenbereich-Hohentwielsteig;;100000
Steglitz-Zehlendorf;Asphaltierung Fischerhüttenweg;;150000
Tempelhof-Schöneberg;Radfahrstreifen Marienfelder Allee;;200000
Tempelhof-Schöneberg;Radfahrstreifen Boelckestraße;;250000
Tempelhof-Schöneberg;Radfahrstreifen Kolonnenstraße;;160000
Tempelhof-Schöneberg;Mariendorfer Hafenweg (Teltowkanal - Lankwitzer Straße);;300000
Tempelhof-Schöneberg;Asphaltierung Torgauer Straße einschließlich Radverkehrs-LSA;;400000
Treptow-Köpenick;Radweg Elsenstraße Nordseite;;100000
Treptow-Köpenick;Radweg / Radfahrstreifen Rummelsburger Straße / Landstraße (Nordostseite Treskowallee - Bezirksgrenze);;100000
Treptow-Köpenick;Radweg Woltersdorfer Weg - Bahnhof Rahnsdorf;;200000
Treptow-Köpenick;Wiesenweg zwischen Bruno-Taut-Straße und Am Falkenberg;;200000
Treptow-Köpenick;An der Wuhlheide (Südseite Edisonstraße-Berliner Außenring);;200000
Treptow-Köpenick;Kiefholzstraße (Dammweg-Britzer Zweigkanal);;500000
Treptow-Köpenick;Radfahrstreifen Siemensstraße;;100000
Treptow-Köpenick;Asphaltierung Wernsdorfer Straße - Schmöckwitzwerdersteg;;100000
